time,air_temperature_mean,pressure,wind_direction,wind_speed
199501,1.3000001,1012.8306,231,4.7000003
199502,5.5,1009.77527,234,4.9
199503,4.7000003,1011.668,258,4.8
199504,9.6,1013.82776,283,4.4
199505,14.5,1015.4301,295,3.2
199506,16.4,1015.2986,350,2.7
199507,22.6,1015.7366,291,2.8
199508,21.1,1015.7272,359,2.8
199509,15,1010.8972,245,3.4
199510,13.3,1022.0968,199,2.5
199511,3.2,1017.3625,244,3.3
199512,-2.1000001,1020.9086,103,2.9
199601,-3.6000001,1023.1573,96,3.5
199602,-2,1014.27875,134,3.7
199603,1.4,1019.74866,81,3.6000001
199604,10.900001,1018.0833,18,2.8
199605,13,1012.7782,301,3.1000001
199606,17.5,1018.5611,285,2.9
199607,17.5,1015.8293,276,3.3
199608,20.1,1016.35754,135,2.8
199609,12.6,1015.81946,333,3.1000001
199610,11.3,1016.6989,223,2.9
199611,5.9,1009.2194,233,4.1
199612,-1.6,1017.6989,139,2.8
199701,-1.5,1025.2272,163,2.7
199702,5.2000003,1016.76337,248,4.8
199703,6.5,1021.9167,275,3.6000001
199704,7.8,1016.8236,298,4.2000003
199705,14.7,1014.8011,272,3.3
199706,18.800001,1011.50696,268,3.2
199707,20.1,1015.54706,326,2.9
199708,23,1017.5067,91,2.3
199709,16,1020.49445,261,3
199710,9.400001,1015.4691,284,3.8
199711,4.4,1013.45416,144,3.1000001
199712,2.7,1013.63574,240,3.5
199801,3.9,1015.8199,232,3.9
199802,6.6,1021.378,266,4.6
199803,5.7000003,1019.5336,259,4.1
199804,11.5,1005.6639,197,3.2
199805,16.6,1015.4583,291,3
199806,18.800001,1014.4583,262,2.9
199807,18.5,1011.0484,262,3.7
199808,18.2,1015.375,271,3.5
199809,15.2,1012.09863,117,2.7
199810,9.6,1010.86426,246,4.9
199811,2.3,1017.9361,207,3.3
199812,1.6,1018.7823,251,4.2000003
199901,3.8,1013.629,232,3.7
199902,2.1000001,1010.37646,273,4.5
199903,6.5,1012.26074,203,3.4
199904,11.3,1013.37085,284,3.4
199905,15.7,1016.9288,251,3.3
199906,17.800001,1017.5125,243,2.9
199907,21.800001,1016.2527,309,3.2
199908,19.800001,1013.45294,253,3.1000001
199909,19.2,1013.5861,147,3.1000001
199910,10.900001,1016.9758,259,3.9
199911,5.1,1020.5306,213,2.9
199912,3.6000001,1007.56586,236,5.1
200001,2.4,1020.0806,247,4.4
200002,5.2000003,1016.625,239,4.5
200003,6.3,1015.2567,286,4.5
200004,12.900001,1009.61664,156,3.4
200005,17.5,1016.039,80,3
200006,19.4,1017.80414,269,3.8
200007,17.6,1010.2863,279,3.5
200008,19.800001,1017.35486,270,2.6000001
200009,15.2,1015.5375,113,3.2
200010,13.1,1014.2406,182,3.2
200011,7.9,1008.4694,175,3.2
200012,3.9,1011.5215,175,3.5
200101,1.9,1015.89246,161,3.1000001
200102,2.9,1016.4702,274,3.8
200103,4.1,1007.9059,111,3.7
200104,9.3,1011.6528,222,3.5
200105,16.300001,1016.72046,7,3.4
200106,16.2,1014.5931,279,3.1000001
200107,21.300001,1014.5336,274,3
200108,20.7,1015.82794,225,3.1000001
200109,13.7,1009.88055,240,3.6000001
200110,13.900001,1017.2083,208,3.2
200111,5.3,1018.6264,253,3.8
200112,0.7,1020.44086,278,4.1
200201,3,1021.8266,224,4.3
200202,6.3,1009.5536,230,5.2000003
200203,6.5,1017.32526,232,3.8
200204,9.8,1016.707,259,3.1000001
200205,16.800001,1014.02686,276,2.9
200206,19,1015.4903,259,3.6000001
200207,20.4,1013.5417,211,3.4
200208,22.300001,1014.09,56,2.6000001
200209,16.2,1018.4903,305,2.8
200210,9.1,1012.1976,246,3.9
200211,5.1,1010.6042,128,3.1000001
200212,-1.1,1021.289,102,3.5
200301,0.8,1013.961,256,3.6000001
200302,-0.6,1024.57,105,2.8
200303,5.8,1024.422,257,3.2
200304,10.1,1017.35974,104,4
200305,16.800001,1017.0632,225,3.3
200306,21,1015.6014,299,3.3
200307,21.5,1015.24866,300,3.1000001
200308,22,1016.1492,287,3.2
200309,16.5,1019.5958,258,2.8
200310,7.5,1013.2836,250,3.1000001
200311,7.2000003,1017.7181,159,3.4
200312,3.6000001,1016.7809,221,4.2000003
200401,-0.4,1009.5739,208,3.4
200402,3.7,1016.4684,256,4.1
200403,6.2000003,1020.5927,241,4
200404,11.400001,1014.2181,157,3.1000001
200405,14,1013.04974,275,3.4
200406,17.1,1015.38336,268,3.5
200407,18.9,1015.086,259,3.3
200408,21.2,1012.55646,222,3.1000001
200409,16,1017.7389,243,3.5
200410,11.400001,1013.50806,201,3.2
200411,5.6,1018.0625,261,3.7
200412,3.2,1017.69086,228,3.7
